id;campaign_code;campaign_name;campaign_desc;investment_type;offer_date;deadline_date;price;fund_target;fund_raised;fund_paid;qty_target;qty_raised;est_roi_min;est_roi_max;prospectus_file;prospectus_file_content_type;campaign_logo_1;campaign_logo_1_content_type;campaign_logo_2;campaign_logo_2_content_type;campaign_logo_3;campaign_logo_3_content_type;status;currency_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Home Loan ;Martinique Albania synthesizing;Sports back up ivory;navigate C;2019-10-15;2019-10-16;47031;87665;50205;99633;12471;36830;38537;44861;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;application SSL;59304;2019-10-16;2019-10-16T01:15:05;66304;2019-10-16;2019-10-16T10:36:10;69561
2;Books;Pants Bacon;Fantastic Utah;Borders pr;2019-10-16;2019-10-15;22543;56148;70294;56066;5280;60348;48659;67646;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;multi-byte 3rd generation;82504;2019-10-16;2019-10-15T22:41:24;63649;2019-10-16;2019-10-16T07:04:19;5855
3;out-of-the;connecting Japan enable;policy;Cloned arc;2019-10-16;2019-10-15;80136;73566;76658;99834;73361;93311;29944;64256;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;systems;63617;2019-10-15;2019-10-15T15:47:33;17825;2019-10-16;2019-10-15T18:11:11;40990
4;calculatin;mint green Maine;strategic Clothing Toys;Indiana De;2019-10-15;2019-10-15;5613;25929;85272;42965;22554;87273;37691;84193;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;turquoise redundant;45818;2019-10-15;2019-10-15T23:03:25;70601;2019-10-16;2019-10-15T19:30:00;8060
5;circuit;District 1080p;bypass;Polarised;2019-10-16;2019-10-16;39883;75137;92262;65695;47206;95661;1340;6895;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Small Plastic Chair;26170;2019-10-16;2019-10-16T04:43:14;27561;2019-10-15;2019-10-15T15:45:26;24954
6;explicit i;actuating Shoes TCP;Generic Fresh Towels;back-end;2019-10-16;2019-10-16;77185;34734;8642;89983;23678;2182;73244;66378;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Liaison Vermont;93682;2019-10-16;2019-10-16T09:23:38;82786;2019-10-16;2019-10-15T15:44:35;26015
7;sensor Str;Metal;mint green Kentucky Groves;Communicat;2019-10-16;2019-10-16;72000;22531;41798;25096;8884;85061;68375;56122;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Wallis and Futuna Concrete;86013;2019-10-16;2019-10-15T17:18:02;54254;2019-10-16;2019-10-15T15:38:51;70783
8;Namibia In;indexing initiatives;Branding;olive Prac;2019-10-15;2019-10-15;74928;54543;29058;6227;78697;51250;11193;80640;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Wall Licensed Soft Shoes;20136;2019-10-16;2019-10-16T04:26:28;87213;2019-10-16;2019-10-15T21:34:19;33021
9;input Ando;invoice Pizza Enterprise-wide;Park Producer quantify;Bahamas;2019-10-16;2019-10-15;34366;90922;28243;53870;39072;49781;79834;10547;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;withdrawal navigating;38042;2019-10-16;2019-10-15T16:02:01;44107;2019-10-15;2019-10-16T05:57:12;20376
10;Benin;impactful;Indiana withdrawal bluetooth;azure Glob;2019-10-15;2019-10-16;44760;69589;55782;79326;16603;31676;61347;85717;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Human client-driven;98352;2019-10-15;2019-10-16T07:16:15;59811;2019-10-16;2019-10-16T09:50:49;18422
